group,identity,proposed_canonical,proposal_reason,slug,title,doi,pmid,sitemap,noindex,canonical_url
1,10.1080/15502783.2026.2674220,,MANUAL_REVIEW,acute-beetroot-juice-ingestion-fails-to-improve-sprint-performance-and-neuromuscular-funct,"Acute beetroot juice ingestion fails to improve sprint performance and neuromuscular function in trained male sprinters: a randomized, double-blind, placebo-controlled study.",10.1080/15502783.2026.2674220,42148901,False,False,https://nutreconciencia.com/articulos/acute-beetroot-juice-ingestion-fails-to-improve-sprint-performance-and-neuromuscular-funct/
1,10.1080/15502783.2026.2674220,,MANUAL_REVIEW,acute-beetroot-juice-ingestion-fails-to-improve-sprint-performance-and-neuromuscular-function-in-tra,"Acute beetroot juice ingestion fails to improve sprint performance and neuromuscular function in trained male sprinters: a randomized, double-blind, placebo-controlled study | Miguel López Moreno",10.1080/15502783.2026.2674220,42148901,False,False,https://nutreconciencia.com/articulos/acute-beetroot-juice-ingestion-fails-to-improve-sprint-performance-and-neuromuscular-function-in-tra/
2,10.3390/nu13093174,,MANUAL_REVIEW,adherence-to-mediterranean-diet-alcohol-consumption-and-emotional-eating-in-spanish-univer,"Adherence to Mediterranean Diet, Alcohol Consumption and Emotional Eating in Spanish University Students.",10.3390/nu13093174,34579051,False,False,https://nutreconciencia.com/articulos/adherence-to-mediterranean-diet-alcohol-consumption-and-emotional-eating-in-spanish-univer/
2,10.3390/nu13093174,,MANUAL_REVIEW,adherence-to-mediterranean-diet-alcohol-consumption-and-emotional-eating-in-spanish-university-stude,"Adherence to Mediterranean Diet, Alcohol Consumption and Emotional Eating in Spanish University Students | Miguel López Moreno",10.3390/nu13093174,34579051,False,False,https://nutreconciencia.com/articulos/adherence-to-mediterranean-diet-alcohol-consumption-and-emotional-eating-in-spanish-university-stude/
3,10.1016/j.advnut.2026.100693,appearance-of-validity,SITEMAP_CANONICAL,appearance-of-validity,The Appearance of Validity in Nutrition Science: Why Weak Inferences Persist,10.1016/j.advnut.2026.100693,42364696,True,False,https://nutreconciencia.com/articulos/appearance-of-validity/
3,10.1016/j.advnut.2026.100693,appearance-of-validity,SITEMAP_CANONICAL,the-appearance-of-validity-in-nutrition-science-why-weak-inferences-persist,The Appearance of Validity in Nutrition Science: Why Weak Inferences Persist.,10.1016/j.advnut.2026.100693,42364696,False,False,https://nutreconciencia.com/articulos/the-appearance-of-validity-in-nutrition-science-why-weak-inferences-persist/
4,10.1186/s40798-025-00852-7,plant-diets-muscular-strength,SITEMAP_CANONICAL,are-plant-based-diets-detrimental-to-muscular-strength-a-systematic-review-and-meta-analys,Are Plant-Based Diets Detrimental to Muscular Strength? A Systematic Review and Meta-Analysis of Randomized Controlled Trials,10.1186/s40798-025-00852-7,40455307,False,False,https://nutreconciencia.com/articulos/are-plant-based-diets-detrimental-to-muscular-strength-a-systematic-review-and-meta-analys/
4,10.1186/s40798-025-00852-7,plant-diets-muscular-strength,SITEMAP_CANONICAL,are-plant-based-diets-detrimental-to-muscular-strength-a-systematic-review-and-meta-analysis-of-rand,Are Plant-Based Diets Detrimental to Muscular Strength? A Systematic Review and Meta-Analysis of Randomized Controlled Trials | Miguel López Moreno,10.1186/s40798-025-00852-7,40455307,False,False,https://nutreconciencia.com/articulos/are-plant-based-diets-detrimental-to-muscular-strength-a-systematic-review-and-meta-analysis-of-rand/
4,10.1186/s40798-025-00852-7,plant-diets-muscular-strength,SITEMAP_CANONICAL,plant-diets-muscular-strength,Are Plant-Based Diets Detrimental to Muscular Strength? A Systematic Review and Meta-Analysis of Randomized Controlled Trials,10.1186/s40798-025-00852-7,,True,False,https://nutreconciencia.com/articulos/plant-diets-muscular-strength/
5,10.1123/ijsnem.2024-0113,beetroot-juice-handball,SITEMAP_CANONICAL,beetroot-juice-handball,"Multiday Beetroot Juice Ingestion Improves Some Aspects of Neuromuscular Performance in Semi-Professional, Male Handball Players",10.1123/ijsnem.2024-0113,39579758,True,False,https://nutreconciencia.com/articulos/beetroot-juice-handball/
5,10.1123/ijsnem.2024-0113,beetroot-juice-handball,SITEMAP_CANONICAL,multiday-beetroot-juice-ingestion-improves-some-aspects-of-neuromuscular-performance-in-se,"Multiday Beetroot Juice Ingestion Improves Some Aspects of Neuromuscular Performance in Semi-Professional, Male Handball Players: A Randomized, Double-Blind, Placebo-Controlled, Crossover Study.",10.1123/ijsnem.2024-0113,39579758,False,False,https://nutreconciencia.com/articulos/multiday-beetroot-juice-ingestion-improves-some-aspects-of-neuromuscular-performance-in-se/
