identity_type,identity_key,status,proposed_canonical,slug,title,doi,pmid,sitemap,noindex,canonical_url
DOI,10.1080/15502783.2026.2674220,NO_SITEMAP_CANONICAL,,acute-beetroot-juice-ingestion-fails-to-improve-sprint-performance-and-neuromuscular-funct,"Acute beetroot juice ingestion fails to improve sprint performance and neuromuscular function in trained male sprinters: a randomized, double-blind, placebo-controlled study.",10.1080/15502783.2026.2674220,42148901,False,False,https://nutreconciencia.com/articulos/acute-beetroot-juice-ingestion-fails-to-improve-sprint-performance-and-neuromuscular-funct/
DOI,10.1080/15502783.2026.2674220,NO_SITEMAP_CANONICAL,,acute-beetroot-juice-ingestion-fails-to-improve-sprint-performance-and-neuromuscular-function-in-tra,"Acute beetroot juice ingestion fails to improve sprint performance and neuromuscular function in trained male sprinters: a randomized, double-blind, placebo-controlled study | Miguel López Moreno",10.1080/15502783.2026.2674220,42148901,False,False,https://nutreconciencia.com/articulos/acute-beetroot-juice-ingestion-fails-to-improve-sprint-performance-and-neuromuscular-function-in-tra/
DOI,10.3390/nu13093174,NO_SITEMAP_CANONICAL,,adherence-to-mediterranean-diet-alcohol-consumption-and-emotional-eating-in-spanish-univer,"Adherence to Mediterranean Diet, Alcohol Consumption and Emotional Eating in Spanish University Students.",10.3390/nu13093174,34579051,False,False,https://nutreconciencia.com/articulos/adherence-to-mediterranean-diet-alcohol-consumption-and-emotional-eating-in-spanish-univer/
DOI,10.3390/nu13093174,NO_SITEMAP_CANONICAL,,adherence-to-mediterranean-diet-alcohol-consumption-and-emotional-eating-in-spanish-university-stude,"Adherence to Mediterranean Diet, Alcohol Consumption and Emotional Eating in Spanish University Students | Miguel López Moreno",10.3390/nu13093174,34579051,False,False,https://nutreconciencia.com/articulos/adherence-to-mediterranean-diet-alcohol-consumption-and-emotional-eating-in-spanish-university-stude/
DOI,10.1016/j.advnut.2026.100693,CANONICAL_FROM_SITEMAP,appearance-of-validity,appearance-of-validity,The Appearance of Validity in Nutrition Science: Why Weak Inferences Persist,10.1016/j.advnut.2026.100693,42364696,True,False,https://nutreconciencia.com/articulos/appearance-of-validity/
DOI,10.1016/j.advnut.2026.100693,CANONICAL_FROM_SITEMAP,appearance-of-validity,the-appearance-of-validity-in-nutrition-science-why-weak-inferences-persist,The Appearance of Validity in Nutrition Science: Why Weak Inferences Persist.,10.1016/j.advnut.2026.100693,42364696,False,False,https://nutreconciencia.com/articulos/the-appearance-of-validity-in-nutrition-science-why-weak-inferences-persist/
DOI,10.1186/s40798-025-00852-7,CANONICAL_FROM_SITEMAP,plant-diets-muscular-strength,are-plant-based-diets-detrimental-to-muscular-strength-a-systematic-review-and-meta-analys,Are Plant-Based Diets Detrimental to Muscular Strength? A Systematic Review and Meta-Analysis of Randomized Controlled Trials,10.1186/s40798-025-00852-7,40455307,False,False,https://nutreconciencia.com/articulos/are-plant-based-diets-detrimental-to-muscular-strength-a-systematic-review-and-meta-analys/
DOI,10.1186/s40798-025-00852-7,CANONICAL_FROM_SITEMAP,plant-diets-muscular-strength,are-plant-based-diets-detrimental-to-muscular-strength-a-systematic-review-and-meta-analysis-of-rand,Are Plant-Based Diets Detrimental to Muscular Strength? A Systematic Review and Meta-Analysis of Randomized Controlled Trials | Miguel López Moreno,10.1186/s40798-025-00852-7,40455307,False,False,https://nutreconciencia.com/articulos/are-plant-based-diets-detrimental-to-muscular-strength-a-systematic-review-and-meta-analysis-of-rand/
DOI,10.1186/s40798-025-00852-7,CANONICAL_FROM_SITEMAP,plant-diets-muscular-strength,plant-diets-muscular-strength,Are Plant-Based Diets Detrimental to Muscular Strength? A Systematic Review and Meta-Analysis of Randomized Controlled Trials,10.1186/s40798-025-00852-7,,True,False,https://nutreconciencia.com/articulos/plant-diets-muscular-strength/
DOI,10.1123/ijsnem.2024-0113,CANONICAL_FROM_SITEMAP,beetroot-juice-handball,beetroot-juice-handball,"Multiday Beetroot Juice Ingestion Improves Some Aspects of Neuromuscular Performance in Semi-Professional, Male Handball Players",10.1123/ijsnem.2024-0113,39579758,True,False,https://nutreconciencia.com/articulos/beetroot-juice-handball/
